schema,time,dataset,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V28_EVENT_V1,2024.12.01 00:00:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO;symbols=7
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,EURUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,GBPUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,AUDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,NZDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCAD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCHF;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDJPY;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,GBPUSD;deal=3
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,AUDUSD;deal=4
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,NZDUSD;deal=5
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCAD;deal=6
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCHF;deal=7
SOLTRADE_PHASE6_V28_EVENT_V1,2025.01.06 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDJPY;deal=8
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,EURUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,GBPUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,AUDUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,NZDUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDCAD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDCHF;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDJPY;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,EURUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,GBPUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,AUDUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,NZDUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDCAD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDCHF;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDJPY;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,EURUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,GBPUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,AUDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,NZDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCAD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCHF;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDJPY;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,GBPUSD;deal=17
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,AUDUSD;deal=18
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,NZDUSD;deal=19
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCAD;deal=20
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCHF;deal=21
SOLTRADE_PHASE6_V28_EVENT_V1,2025.02.03 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDJPY;deal=22
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,EURUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,GBPUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,AUDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,NZDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCAD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCHF;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDJPY;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,GBPUSD;deal=31
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,AUDUSD;deal=32
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,NZDUSD;deal=33
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCAD;deal=34
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCHF;deal=35
SOLTRADE_PHASE6_V28_EVENT_V1,2025.03.03 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDJPY;deal=36
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,EURUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,GBPUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,NZDUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDCAD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDCHF;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDJPY;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,EURUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,GBPUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,NZDUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDCAD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDCHF;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDJPY;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,EURUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,GBPUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,AUDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,NZDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCAD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDCHF;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDJPY;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,GBPUSD;deal=45
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,AUDUSD;deal=46
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,NZDUSD;deal=47
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCAD;deal=48
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDCHF;deal=49
SOLTRADE_PHASE6_V28_EVENT_V1,2025.04.07 10:05:01,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDJPY;deal=50
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,EURUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,GBPUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,AUDUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,NZDUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDCAD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDCHF;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,USDJPY;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,EURUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,GBPUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,AUDUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,NZDUSD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDCAD;DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_EVENT_V1,2025.05.05 10:05:00,V28_FXIFY_CONTINUOUS,NATIVE_NORMAL_EXECUTION,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,USDCHF;DOLLAR_FACTOR_REBALANCE
